GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
shenyu-common,org.apache.shenyu.common.dto,AuthPathData,140,0,12,0,30,0,19,0,13,0
shenyu-common,org.apache.shenyu.common.dto,RuleData,333,0,26,0,56,0,39,0,26,0
shenyu-common,org.apache.shenyu.common.dto,MetaData,140,255,28,2,12,60,18,25,3,25
shenyu-common,org.apache.shenyu.common.dto,SelectorData,377,0,30,0,64,0,45,0,30,0
shenyu-common,org.apache.shenyu.common.dto,RuleData.Builder,56,0,0,0,21,0,11,0,11,0
shenyu-common,org.apache.shenyu.common.dto,PluginData,204,0,16,0,41,0,25,0,17,0
shenyu-common,org.apache.shenyu.common.dto,WebsocketData,123,0,12,0,24,0,17,0,11,0
shenyu-common,org.apache.shenyu.common.dto,AuthPathData.Builder,21,0,0,0,7,0,4,0,4,0
shenyu-common,org.apache.shenyu.common.dto,AuthParamData,94,0,10,0,20,0,14,0,9,0
shenyu-common,org.apache.shenyu.common.dto,MetaData.Builder,0,56,0,0,0,21,0,11,0,11
shenyu-common,org.apache.shenyu.common.dto,ConditionData,135,0,14,0,22,0,19,0,12,0
shenyu-common,org.apache.shenyu.common.dto,PluginData.Builder,31,0,0,0,11,0,6,0,6,0
shenyu-common,org.apache.shenyu.common.dto,AppAuthData.Builder,36,0,0,0,13,0,7,0,7,0
shenyu-common,org.apache.shenyu.common.dto,SelectorData.Builder,66,0,0,0,25,0,13,0,13,0
shenyu-common,org.apache.shenyu.common.dto,ConfigData,59,43,12,0,7,17,8,9,2,9
shenyu-common,org.apache.shenyu.common.dto,AppAuthData,209,0,18,0,38,0,27,0,18,0
shenyu-common,org.apache.shenyu.common.enums,RpcTypeEnum,0,229,1,3,0,22,1,12,0,11
shenyu-common,org.apache.shenyu.common.enums,ParamTypeEnum,0,199,1,3,0,23,1,9,0,8
shenyu-common,org.apache.shenyu.common.enums,AdminResourceEnum,0,48,0,0,0,8,0,3,0,3
shenyu-common,org.apache.shenyu.common.enums,PluginEnum,6,507,0,0,2,45,2,6,2,6
shenyu-common,org.apache.shenyu.common.enums,SelectorTypeEnum,0,65,0,2,0,13,0,7,0,6
shenyu-common,org.apache.shenyu.common.enums,WafModelEnum,0,37,0,0,0,7,0,3,0,3
shenyu-common,org.apache.shenyu.common.enums,RedisModeEnum,0,63,0,0,0,11,0,5,0,5
shenyu-common,org.apache.shenyu.common.enums,MatchModeEnum,0,64,0,2,0,13,0,7,0,6
shenyu-common,org.apache.shenyu.common.enums,ResultEnum,0,48,0,0,0,8,0,3,0,3
shenyu-common,org.apache.shenyu.common.enums,DataEventTypeEnum,0,82,0,0,0,10,0,4,0,4
shenyu-common,org.apache.shenyu.common.enums,AdminDataPermissionTypeEnum,24,0,0,0,3,0,1,0,1,0
shenyu-common,org.apache.shenyu.common.enums,SerializeEnum,0,85,0,0,0,13,0,5,0,5
shenyu-common,org.apache.shenyu.common.enums,AdminPluginOperateEnum,0,70,0,0,0,10,0,3,0,3
shenyu-common,org.apache.shenyu.common.enums,LoadBalanceEnum,0,66,0,0,0,12,0,5,0,5
shenyu-common,org.apache.shenyu.common.enums,RateLimitEnum,0,69,0,0,0,11,0,4,0,4
shenyu-common,org.apache.shenyu.common.enums,PluginTypeEnum,0,48,0,0,0,8,0,3,0,3
shenyu-common,org.apache.shenyu.common.enums,DataSyncEnum,0,63,0,0,0,11,0,5,0,5
shenyu-common,org.apache.shenyu.common.enums,WafEnum,0,45,0,0,0,9,0,4,0,4
shenyu-common,org.apache.shenyu.common.enums,HttpMethodEnum,0,109,1,3,0,14,1,8,0,7
shenyu-common,org.apache.shenyu.common.enums,HystrixIsolationModeEnum,0,45,0,0,0,9,0,4,0,4
shenyu-common,org.apache.shenyu.common.enums,PluginRoleEnum,0,47,0,0,0,9,0,4,0,4
shenyu-common,org.apache.shenyu.common.enums,OperatorEnum,3,170,1,3,1,19,2,8,1,7
shenyu-common,org.apache.shenyu.common.enums,AdminDataSourceEnum,59,0,0,0,9,0,3,0,3,0
shenyu-common,org.apache.shenyu.common.enums,ConfigGroupEnum,0,82,0,0,0,9,0,4,0,4
shenyu-common,org.apache.shenyu.common.dto.convert.selector,ZombieUpstream.Builder,21,0,0,0,7,0,4,0,4,0
shenyu-common,org.apache.shenyu.common.dto.convert.selector,DivideUpstream.Builder,44,0,0,0,16,0,8,0,8,0
shenyu-common,org.apache.shenyu.common.dto.convert.selector,CommonUpstream,142,0,12,0,32,0,22,0,16,0
shenyu-common,org.apache.shenyu.common.dto.convert.selector,DubboUpstream,277,0,26,0,54,0,34,0,21,0
shenyu-common,org.apache.shenyu.common.dto.convert.selector,DivideUpstream,166,0,14,0,34,0,17,0,10,0
shenyu-common,org.apache.shenyu.common.dto.convert.selector,SpringCloudSelectorHandle.Builder,21,0,0,0,7,0,4,0,4,0
shenyu-common,org.apache.shenyu.common.dto.convert.selector,ZombieUpstream,130,0,6,0,34,0,16,0,13,0
shenyu-common,org.apache.shenyu.common.dto.convert.selector,WebSocketUpstream.Builder,41,0,0,0,15,0,8,0,8,0
shenyu-common,org.apache.shenyu.common.dto.convert.selector,SpringCloudSelectorHandle,91,0,6,0,25,0,15,0,12,0
shenyu-common,org.apache.shenyu.common.dto.convert.selector,GrpcUpstream,147,0,14,0,28,0,14,0,7,0
shenyu-common,org.apache.shenyu.common.dto.convert.selector,TarsUpstream,163,0,14,0,32,0,16,0,9,0
shenyu-common,org.apache.shenyu.common.dto.convert.selector,GrpcUpstream.Builder,39,0,0,0,14,0,7,0,7,0
shenyu-common,org.apache.shenyu.common.dto.convert.selector,DubboUpstream.Builder,44,0,0,0,16,0,8,0,8,0
shenyu-common,org.apache.shenyu.common.dto.convert.selector,WebSocketUpstream,191,0,12,0,39,0,25,0,19,0
shenyu-common,org.apache.shenyu.common.dto.convert.selector,TarsUpstream.Builder,44,0,0,0,16,0,8,0,8,0
shenyu-common,org.apache.shenyu.common.dto.convert.plugin,SofaRegisterConfig,110,0,12,0,18,0,16,0,10,0
shenyu-common,org.apache.shenyu.common.dto.convert.plugin,DubboRegisterConfig,110,0,12,0,18,0,16,0,10,0
shenyu-common,org.apache.shenyu.common.dto.convert.plugin,MotanRegisterConfig,56,0,6,0,12,0,9,0,6,0
shenyu-common,org.apache.shenyu.common.constant,RedisKeyConstants,3,26,0,0,1,2,1,2,1,2
shenyu-common,org.apache.shenyu.common.constant,DubboParamConstants,3,0,0,0,1,0,1,0,1,0
shenyu-common,org.apache.shenyu.common.constant,RuleHandleConstants,6,0,0,0,2,0,2,0,2,0
shenyu-common,org.apache.shenyu.common.constant,AdminConstants,13,0,0,0,4,0,2,0,2,0
shenyu-common,org.apache.shenyu.common.constant,DefaultPathConstants,3,116,0,0,1,8,1,8,1,8
shenyu-common,org.apache.shenyu.common.constant,Constants,1,4,0,0,1,1,1,1,1,1
shenyu-common,org.apache.shenyu.common.constant,NacosPathConstants,3,0,0,0,1,0,1,0,1,0
shenyu-common,org.apache.shenyu.common.constant,ConsulConstants,7,0,0,0,2,0,2,0,2,0
shenyu-common,org.apache.shenyu.common.constant,HttpConstants,20,0,0,0,5,0,2,0,2,0
shenyu-common,org.apache.shenyu.common.constant,ResourceTypeConstants,7,0,0,0,2,0,2,0,2,0
shenyu-common,org.apache.shenyu.common.exception,CommonErrorCode,3,0,0,0,1,0,1,0,1,0
shenyu-common,org.apache.shenyu.common.exception,SerializerException,0,13,0,0,0,6,0,3,0,3
shenyu-common,org.apache.shenyu.common.exception,ShenyuException,0,13,0,0,0,6,0,3,0,3
shenyu-common,org.apache.shenyu.common.dto.convert.rule,HystrixHandle,291,0,26,0,49,0,37,0,24,0
shenyu-common,org.apache.shenyu.common.dto.convert.rule,RuleHandle,4,0,0,0,1,0,1,0,1,0
shenyu-common,org.apache.shenyu.common.dto.convert.rule,Resilience4JHandle,453,0,34,0,77,0,48,0,31,0
shenyu-common,org.apache.shenyu.common.dto.convert.rule,RequestHandle.ShenyuCookie,168,0,22,0,31,0,25,0,14,0
shenyu-common,org.apache.shenyu.common.dto.convert.rule,RewriteHandle,85,0,10,0,15,0,13,0,8,0
shenyu-common,org.apache.shenyu.common.dto.convert.rule,WafHandle,85,0,10,0,15,0,13,0,8,0
shenyu-common,org.apache.shenyu.common.dto.convert.rule,HystrixHandle.HystrixThreadPoolConfig,139,0,14,0,25,0,19,0,12,0
shenyu-common,org.apache.shenyu.common.dto.convert.rule,RedirectHandle,56,0,6,0,12,0,9,0,6,0
shenyu-common,org.apache.shenyu.common.dto.convert.rule,RequestHandle,127,0,20,0,20,0,22,0,12,0
shenyu-common,org.apache.shenyu.common.dto.convert.rule,RequestHandle.ShenyuRequestHeader,168,0,22,0,31,0,25,0,14,0
shenyu-common,org.apache.shenyu.common.dto.convert.rule,RequestHandle.ShenyuRequestParameter,168,0,22,0,31,0,25,0,14,0
shenyu-common,org.apache.shenyu.common.dto.convert.rule,GeneralContextHandle,122,0,12,0,26,0,17,0,11,0
shenyu-common,org.apache.shenyu.common.dto.convert.rule,RateLimiterHandle,183,0,18,0,30,0,25,0,16,0
shenyu-common,org.apache.shenyu.common.dto.convert.rule,SentinelHandle,379,0,38,0,64,0,48,0,29,0
shenyu-common,org.apache.shenyu.common.concurrent,ShenyuThreadFactory,0,68,0,0,0,14,0,5,0,5
shenyu-common,org.apache.shenyu.common.utils,GsonUtils.MapDeserializer,22,117,5,17,7,31,5,8,0,2
shenyu-common,org.apache.shenyu.common.utils,SpiLoadFactory,3,28,0,2,1,7,1,3,1,2
shenyu-common,org.apache.shenyu.common.utils,PathMatchUtils,3,25,0,0,1,3,1,4,1,4
shenyu-common,org.apache.shenyu.common.utils,PortUtils,104,0,8,0,24,0,8,0,4,0
shenyu-common,org.apache.shenyu.common.utils,Md5Utils,16,65,0,4,5,15,1,5,1,3
shenyu-common,org.apache.shenyu.common.utils,JsonUtils,50,124,1,3,10,28,3,4,2,3
shenyu-common,org.apache.shenyu.common.utils,ContextPathUtils,19,0,4,0,3,0,5,0,3,0
shenyu-common,org.apache.shenyu.common.utils,IpUtils,56,387,22,48,11,83,21,23,1,8
shenyu-common,org.apache.shenyu.common.utils,GsonUtils.new TypeToken() {...},0,6,0,0,0,1,0,1,0,1
shenyu-common,org.apache.shenyu.common.utils,GsonUtils.new TypeToken() {...},0,3,0,0,0,1,0,1,0,1
shenyu-common,org.apache.shenyu.common.utils,GsonUtils.new TypeToken() {...},0,6,0,0,0,1,0,1,0,1
shenyu-common,org.apache.shenyu.common.utils,GsonUtils.new TypeToken() {...},0,6,0,0,0,1,0,1,0,1
shenyu-common,org.apache.shenyu.common.utils,GsonUtils.new TypeToken() {...},6,0,0,0,1,0,1,0,1,0
shenyu-common,org.apache.shenyu.common.utils,GsonUtils.new TypeToken() {...},0,6,0,0,0,1,0,1,0,1
shenyu-common,org.apache.shenyu.common.utils,GsonUtils.new TypeToken() {...},0,6,0,0,0,1,0,1,0,1
shenyu-common,org.apache.shenyu.common.utils,LogUtils,35,72,8,16,13,24,9,16,5,8
shenyu-common,org.apache.shenyu.common.utils,GsonUtils,63,316,8,18,11,65,8,25,2,18
shenyu-common,org.apache.shenyu.common.utils,ObjectTypeUtils,31,0,16,0,2,0,10,0,2,0
shenyu-common,org.apache.shenyu.common.utils,ThreadUtils,3,9,0,0,1,5,1,1,1,1
shenyu-common,org.apache.shenyu.common.utils,UriUtils,36,0,6,0,6,0,7,0,4,0
shenyu-common,org.apache.shenyu.common.utils,ParamCheckUtils,3,19,0,8,1,1,1,5,1,1
shenyu-common,org.apache.shenyu.common.utils,ReflectUtils,135,112,30,12,22,30,23,11,5,8
shenyu-common,org.apache.shenyu.common.utils,GsonUtils.StringTypeAdapter,19,16,2,2,8,6,2,2,0,2
shenyu-common,org.apache.shenyu.common.utils,Singleton,30,0,0,0,6,0,3,0,3,0
shenyu-common,org.apache.shenyu.common.utils,FreshBeanHolder,50,0,6,0,17,0,7,0,4,0
shenyu-common,org.apache.shenyu.common.utils,PluginNameAdapter,35,0,8,0,11,0,9,0,2,0
shenyu-common,org.apache.shenyu.common.utils,UUIDUtils,26,150,5,11,3,29,5,11,0,8
shenyu-common,org.apache.shenyu.common.utils,DateUtils,3,53,0,0,1,10,1,9,1,9
shenyu-common,org.apache.shenyu.common.utils,SignUtils,1,75,1,1,0,14,1,7,0,7
shenyu-common,org.apache.shenyu.common.utils,UpstreamCheckUtils,72,13,7,1,16,4,6,3,2,3
shenyu-common,org.apache.shenyu.common.utils,GsonUtils.DurationTypeAdapter,36,0,4,0,14,0,4,0,2,0
shenyu-common,org.apache.shenyu.common.utils,VersionUtils,3,115,7,15,2,26,7,7,0,3
shenyu-common,org.apache.shenyu.common.utils,HttpParamConverter,9,70,0,8,3,15,1,9,1,5
shenyu-common,org.apache.shenyu.common.utils,IpUtils.NetCard,27,24,0,0,12,9,5,4,5,4
shenyu-common,org.apache.shenyu.common.utils,GsonUtils.PairTypeAdapter,0,56,1,4,0,17,1,4,0,2
shenyu-common,org.apache.shenyu.common.config,ShenyuConfig.FileConfig,25,0,0,0,9,0,5,0,5,0
shenyu-common,org.apache.shenyu.common.config,ShenyuConfig.ExcludePath,26,0,0,0,9,0,5,0,5,0
shenyu-common,org.apache.shenyu.common.config,ShenyuConfig.CrossFilterConfig.new HashSet() {...},39,0,0,0,11,0,1,0,1,0
shenyu-common,org.apache.shenyu.common.config,ShenyuConfig.UpstreamCheck,80,0,0,0,29,0,15,0,15,0
shenyu-common,org.apache.shenyu.common.config,ShenyuConfig.SwitchConfig,14,0,0,0,5,0,3,0,3,0
shenyu-common,org.apache.shenyu.common.config,ShenyuConfig,111,0,0,0,37,0,19,0,19,0
shenyu-common,org.apache.shenyu.common.config,ShenyuConfig.CrossFilterConfig,105,0,2,0,35,0,18,0,17,0
shenyu-common,org.apache.shenyu.common.config,ShenyuConfig.FallbackPath,26,0,0,0,9,0,5,0,5,0
shenyu-common,org.apache.shenyu.common.config,ShenyuConfig.ExtPlugin,54,0,0,0,20,0,11,0,11,0
shenyu-common,org.apache.shenyu.common.config,ShenyuConfig.Scheduler,42,0,0,0,13,0,7,0,7,0
shenyu-common,org.apache.shenyu.common.config,ShenyuConfig.InstanceConfig,61,0,0,0,21,0,10,0,10,0
shenyu-common,org.apache.shenyu.common.timer,WheelTimerFactory.SharedRef,0,11,0,2,0,3,0,2,0,1
shenyu-common,org.apache.shenyu.common.timer,HierarchicalWheelTimer,9,175,3,11,3,41,4,13,1,9
shenyu-common,org.apache.shenyu.common.timer,TimerTask,7,36,4,2,1,14,3,6,0,6
shenyu-common,org.apache.shenyu.common.timer,WheelTimerFactory,3,15,0,0,1,3,1,3,1,3
shenyu-common,org.apache.shenyu.common.timer,AbstractRetryTask,132,0,16,0,35,0,13,0,5,0
shenyu-common,org.apache.shenyu.common.timer,TimerTaskList.TimerTaskEntry,17,43,1,5,4,15,4,7,3,5
shenyu-common,org.apache.shenyu.common.timer,WheelTimerFactory.TimerSharedRef,0,9,0,0,0,2,0,2,0,2
shenyu-common,org.apache.shenyu.common.timer,TimerTaskList.Itr,5,49,3,5,2,13,4,4,1,3
shenyu-common,org.apache.shenyu.common.timer,WheelTimerFactory.TimerShared,22,6,0,0,7,3,4,2,4,2
shenyu-common,org.apache.shenyu.common.timer,AbstractRoundTask,29,0,0,0,11,0,3,0,3,0
shenyu-common,org.apache.shenyu.common.timer,TimerTaskList,2,220,4,12,1,56,4,14,0,10
shenyu-common,org.apache.shenyu.common.timer,HierarchicalWheelTimer.Worker,2,11,0,0,1,5,0,2,0,2
shenyu-common,org.apache.shenyu.common.timer,TimingWheel,2,199,3,17,1,41,3,12,0,5
shenyu-common,org.apache.shenyu.common.timer,WheelTimerFactory.Shared,3,9,0,0,1,4,1,2,1,2
shenyu-common,org.apache.shenyu.common.dto.convert.rule.impl,ParamMappingRuleHandle.ParamMapInfo,110,0,12,0,18,0,16,0,10,0
shenyu-common,org.apache.shenyu.common.dto.convert.rule.impl,SpringCloudRuleHandle,98,0,10,0,20,0,15,0,10,0
shenyu-common,org.apache.shenyu.common.dto.convert.rule.impl,DubboRuleHandle,164,0,14,0,31,0,21,0,14,0
shenyu-common,org.apache.shenyu.common.dto.convert.rule.impl,WebSocketRuleHandle,114,0,12,0,20,0,16,0,10,0
shenyu-common,org.apache.shenyu.common.dto.convert.rule.impl,ParamMappingRuleHandle,104,0,12,0,19,0,16,0,10,0
shenyu-common,org.apache.shenyu.common.dto.convert.rule.impl,JwtRuleHandle.Convert,38,0,0,0,8,0,6,0,6,0
shenyu-common,org.apache.shenyu.common.dto.convert.rule.impl,ContextMappingRuleHandle,85,0,10,0,15,0,13,0,8,0
shenyu-common,org.apache.shenyu.common.dto.convert.rule.impl,SofaRuleHandle,118,0,12,0,21,0,16,0,10,0
shenyu-common,org.apache.shenyu.common.dto.convert.rule.impl,DivideRuleHandle,171,0,16,0,30,0,22,0,14,0
shenyu-common,org.apache.shenyu.common.dto.convert.rule.impl,JwtRuleHandle,23,0,0,0,6,0,4,0,4,0
shenyu-common,org.apache.shenyu.common.dto.convert.rule.impl,ModifyResponseRuleHandle,219,0,22,0,36,0,31,0,20,0
